Property_Id,State Code,Suburb,Address,Property_Median_Value,Updated_on,Postcode
1,NSW,Dawes Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
2,NSW,Haymarket,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
3,NSW,Millers Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
4,NSW,Parliament House,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
5,NSW,Sydney,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
6,NSW,Sydney South,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
7,NSW,The Rocks,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2000","10,44,350.00",1/06/2017,2000
8,NSW,Broadway,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2007","10,51,540.00",1/06/2017,2007
9,NSW,Ultimo,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2007","10,51,540.00",1/06/2017,2007
10,NSW,Chippendale,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2008","10,52,500.00",1/06/2017,2008
11,NSW,Darlington,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2008","10,52,500.00",1/06/2017,2008
12,NSW,Pyrmont,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2009","9,85,000.00",1/06/2017,2009
13,NSW,Darlinghurst,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2010","12,50,000.00",1/06/2017,2010
14,NSW,Surry Hills,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2010","12,50,000.00",1/06/2017,2010
15,NSW,Elizabeth Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2011","8,50,000.00",1/06/2017,2011
16,NSW,Hmas Kuttabul,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2011","8,50,000.00",1/06/2017,2011
17,NSW,Potts Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2011","8,50,000.00",1/06/2017,2011
18,NSW,Rushcutters Bay,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2011","8,50,000.00",1/06/2017,2011
19,NSW,Woolloomooloo,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2011","8,50,000.00",1/06/2017,2011
20,NSW,Alexandria,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2015","9,45,000.00",1/06/2017,2015
21,NSW,Beaconsfield,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2015","9,45,000.00",1/06/2017,2015
22,NSW,Eveleigh,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2015","9,45,000.00",1/06/2017,2015
23,NSW,Redfern,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2016","11,20,000.00",1/06/2017,2016
24,NSW,Waterloo,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2017","9,10,000.00",1/06/2017,2017
25,NSW,Zetland,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2017","9,10,000.00",1/06/2017,2017
26,NSW,Eastlakes,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2018","8,00,000.00",1/06/2017,2018
27,NSW,Rosebery,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2018","8,00,000.00",1/06/2017,2018
28,NSW,Banksmeadow,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2019","10,70,000.00",1/06/2017,2019
29,NSW,Botany,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2019","10,70,000.00",1/06/2017,2019
30,NSW,Mascot,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2020","10,57,500.00",1/06/2017,2020
31,NSW,Sydney Domestic Airport,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2020","10,57,500.00",1/06/2017,2020
32,NSW,Sydney International Airport,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2020","10,57,500.00",1/06/2017,2020
33,NSW,Moore Park,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2021","21,00,000.00",1/06/2017,2021
34,NSW,Paddington,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2021","21,00,000.00",1/06/2017,2021
35,NSW,Bondi Junction,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2022","13,10,000.00",1/06/2017,2022
36,NSW,Bondi Junction Plaza,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2022","13,10,000.00",1/06/2017,2022
37,NSW,Queens Park,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2022","13,10,000.00",1/06/2017,2022
38,NSW,Bellevue Hill,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2023","13,85,000.00",1/06/2017,2023
39,NSW,Bronte,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2024","13,50,000.00",1/06/2017,2024
40,NSW,Waverley,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2024","13,50,000.00",1/06/2017,2024
41,NSW,Woollahra,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2025","20,06,000.00",1/06/2017,2025
42,NSW,Bondi,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2026","13,45,000.00",1/06/2017,2026
43,NSW,Bondi Beach,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2026","13,45,000.00",1/06/2017,2026
44,NSW,North Bondi,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2026","13,45,000.00",1/06/2017,2026
45,NSW,Tamarama,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2026","13,45,000.00",1/06/2017,2026
46,NSW,Darling Point,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2027","19,15,000.00",1/06/2017,2027
47,NSW,Edgecliff,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2027","19,15,000.00",1/06/2017,2027
48,NSW,Hmas Rushcutters,"NEW SOUTH WALES_NSW, SYDNEY, Postcode-2027","19,15,000.00",1/06/2017,2027
