School_Id,Suburb,State Code,Address,School_Information,Latitude,Longitude,ICSEA_Value,Student_number,,Postcode
1001,Abbotsford ,NSW,"Abbotsford Public School, 350 Great North Rd, Postcode-2046","Primary School (Coed, Kinder to Year 6)",-33.852728,151.131206,1127,602,,2046
1002,Aberdeen,NSW,"Aberdeen Public School, Segenhoe St, Postcode-2336","Primary School (Coed, Kinder to Year 6)",-32.166098,150.888095,917,241,,2336
1003,Abermain ,NSW,"Abermain Public School, Goulburn St, Postcode-2326","Primary School (Coed, Kinder to Year 6)",-32.80892,151.426499,887,264,,2326
1007,Adaminaby,NSW,"Adaminaby Public School, 9 Cosgrove Street, Postcode-2629","Primary School (Coed, Kinder to Year 6)",-35.993292,148.776721,973,17,,2629
1008,Adamstown ,NSW,"Adamstown Public School, Bryant St, Postcode-2289","Primary School (Coed, Kinder to Year 6)",-32.932213,151.730971,1024,263,,2289
1009,Adelong ,NSW,"Adelong Public School, Gilmore St, Postcode-2729","Primary School (Coed, Kinder to Year 6)",-35.312333,148.062802,966,81,,2729
1015,Albion Park ,NSW,"Albion Park Public School, Tongarra & Hamilton Rds, Postcode-2527","Primary School (Coed, Kinder to Year 6)",-34.570257,150.77262,977,435,,2527
1016,Timbumburi ,NSW,"Timbumburi Public School, 542 Kia Ora Lane, Postcode-2340","Primary School (Coed, Kinder to Year 6)",-31.203781,150.915629,995,144,,2340
1017,Albury ,NSW,"Albury Public School, 481 David St, Postcode-2640","Primary School (Coed, Kinder to Year 6)",-36.082454,146.919253,1055,612,,2640
1019,Albury ,NSW,"Albury West Public School, Mott St, Postcode-2640","Primary School (Coed, Kinder to Year 6)",-36.07783,146.895548,866,118,,2640
1028,Broken Hill ,NSW,"Alma Public School, Comstock St, Postcode-2880","Primary School (Coed, Kinder to Year 6)",-31.982217,141.462443,844,236,,2880
1030,Alstonville ,NSW,"Alstonville Public School, Main St, Postcode-2477","Primary School (Coed, Kinder to Year 6)",-28.838471,153.438172,1018,540,,2477
1040,Anna Bay ,NSW,"Anna Bay Public School, 191 Gan Gan Rd, Postcode-2316","Primary School (Coed, Kinder to Year 6)",-32.77637,152.089912,970,297,,2316
1041,Annandale ,NSW,"Annandale Public School, 25 Johnston St, Postcode-2038","Primary School (Coed, Kinder to Year 6)",-33.885782,151.169599,1150,372,,2038
1042,Annandale ,NSW,"Annandale North Public School, 206 Johnston St, Postcode-2038","Primary School (Coed, Kinder to Year 6)",-33.877905,151.171835,1174,398,,2038
