District_Id,State_code,Suburb,Address,Lattitude,Longitude
1,ACT,Australian National University,"Australian Capital Territory, Canberra, Postcode-200",-35.277272,149.117136
2,ACT,Barton,"Australian Capital Territory, Canberra, Postcode-221",-35.201372,149.095065
3,NT,Darwin," Northern Territory, Darwin, Postcode-800",-12.801028,130.955789
4,NT,Darwin," Northern Territory, Darwin, Postcode-801",-12.801028,130.955789
5,NT,Parap," Northern Territory, Darwin, Postcode-804",-12.432181,130.84331
6,NT,Alawa," Northern Territory, Darwin, Postcode-810",-12.378451,130.877014
7,NT,Brinkin," Northern Territory, Darwin, Postcode-810",-12.367769,130.869808
8,NT,Casuarina," Northern Territory, Darwin, Postcode-810",-12.376597,130.850489
9,NT,Jingili," Northern Territory, Darwin, Postcode-810",-12.385761,130.873726
10,NT,Lee Point," Northern Territory, Darwin, Postcode-810",-12.360865,130.891349
11,NT,Millner," Northern Territory, Darwin, Postcode-810",-12.39087,130.864144
12,NT,Moil," Northern Territory, Darwin, Postcode-810",-12.387001,130.879351
13,NT,Nakara," Northern Territory, Darwin, Postcode-810",-12.369175,130.87899
14,NT,Nightcliff," Northern Territory, Darwin, Postcode-810",-12.382572,130.853877
15,NT,Rapid Creek," Northern Territory, Darwin, Postcode-810",-12.387231,130.864402
16,NT,Tiwi," Northern Territory, Darwin, Postcode-810",-12.363913,130.87719
17,NT,Wagaman," Northern Territory, Darwin, Postcode-810",-12.379955,130.886362
18,NT,Wanguri," Northern Territory, Darwin, Postcode-810",-12.37041,130.888433
19,NT,Casuarina," Northern Territory, Darwin, Postcode-811",-12.376597,130.850489
20,NT,Karama," Northern Territory, Darwin, Postcode-812",-12.400091,130.913672
21,NT,Leanyer," Northern Territory, Darwin, Postcode-812",-12.376727,130.900653
22,NT,Malak," Northern Territory, Darwin, Postcode-812",-12.392528,130.904018
23,NT,Marrara," Northern Territory, Darwin, Postcode-812",-12.396566,130.882733
24,NT,Wulagi," Northern Territory, Darwin, Postcode-812",-12.384714,130.897765
25,NT,Nightcliff," Northern Territory, Darwin, Postcode-814",-12.382572,130.853877
26,NT,Bagot," Northern Territory, Darwin, Postcode-820",-12.410444,130.856124
27,NT,Bayview," Northern Territory, Darwin, Postcode-820",-12.440944,130.856539
28,NT,Charles Darwin," Northern Territory, Darwin, Postcode-820",-12.443893,130.844191
